54531;-400;-2776;14928
54555;-164;-3040;14760
54580;-200;-2972;14976
54605;-492;-2300;14764
54630;-324;-2840;14960
54654;-368;-3396;14772
54680;-12;-3184;14876
54704;-76;-3044;14612
54728;-216;-2868;14568
54753;-184;-3060;14640
54777;-332;-2824;14932
54803;-416;-2712;14916
54828;-256;-2784;14896
54852;-584;-2528;15200
54878;-860;-2392;15024
54902;-812;-2460;15040
54928;-444;-2840;15132
54952;-436;-2732;15024
54977;-916;-3000;14900
55003;-808;-3124;14824
55027;-604;-3132;14956
55052;-504;-2968;14808
55077;-692;-2644;14728
55102;-784;-2732;14660
55128;-600;-3084;14896
55152;-708;-3024;14884
55177;-724;-3376;14968
55202;-660;-3404;14896
55227;-608;-3232;14772
55251;-588;-2740;14556
55277;-700;-3100;14520
55302;-624;-3464;14580
55327;-832;-3388;14596
55352;-848;-3080;14504
55376;-732;-2868;14368
55402;-732;-3064;14524
55427;-676;-3348;14448
55451;-772;-3320;14440
55477;-856;-3292;14752
55501;-776;-3440;14348
55527;-740;-3180;14636
55552;-760;-3064;14564
55576;-700;-3260;14472
55602;-812;-3224;14512
55626;-932;-3308;14492
55651;-888;-3308;14424
55676;-740;-3040;14476
55701;-776;-3504;14592
55727;-700;-3616;14788
55751;-820;-3720;14952
55776;-1032;-3828;14580
55802;-744;-3392;14632
55827;-988;-3424;14880
55852;-968;-3908;14860
55877;-1024;-3700;14824
55903;-932;-3100;14872
55928;-1440;-3128;14716
55954;-804;-3320;14708
55979;-420;-3212;14660
56004;-1284;-2020;14512
56030;-1784;-2152;14472
56056;-1084;-3696;14784
56082;-548;-3508;14928
56107;-772;-3032;14728
56132;-1028;-3740;14428
56158;-456;-3036;14592
56182;-788;-2080;14656
56208;-888;-2788;15156
56232;-372;-3860;15700
56258;-700;-2480;15328
56283;-988;-2876;14948
56307;-1004;-3004;15124
56334;-1220;-2552;15444
56359;-1104;-2032;15508
56385;-1168;-1368;16660
56412;-732;-1032;14396
56436;-24;-408;14376
56460;-452;-188;14300
56483;-644;-968;14700
56507;-524;-584;14564
56531;-496;-676;14832
56555;-976;-1156;15064
56580;-768;-908;15664
56604;-132;-1156;16288
56629;-276;-1228;15392
56653;280;-908;15040
56677;-444;-228;14752
56700;-1204;-1540;14824
56727;-628;-1228;15096
56752;16;-2384;15284
56774;756;-2312;14988
56799;460;-1368;14512
56822;-212;-1296;14700
56847;24;-1608;14788
