63328;3280;-372;14792
63351;3316;-396;14744
63375;3272;-432;14812
63399;3328;-400;14824
63423;3264;-424;14724
63448;3340;-420;14796
63471;3252;-552;14804
63495;3376;-408;14792
63519;3312;-356;14872
63543;3444;-400;14780
63566;3264;-332;14740
63591;3288;-404;14792
63614;3208;-372;14896
63638;3312;-368;14700
63663;3244;-456;14736
63686;3272;-396;14628
63711;3320;-456;14784
63734;3304;-432;14712
63758;3268;-428;14788
63782;3292;-376;14748
63806;3400;-392;14760
63830;3248;-272;14764
63854;3292;-460;14656
63878;3256;-392;14760
63901;3312;-424;14872
63926;3260;-492;14720
63949;3184;-424;14720
63973;3232;-324;14804
63997;3296;-436;14836
64021;3228;-496;15044
64046;3264;-364;15412
64069;3296;-384;15116
64093;3756;-548;15376
64117;1752;312;12980
64140;1592;-944;14148
64163;908;-48;14180
64186;968;-636;15340
64208;72;588;13852
64229;672;-696;12936
64252;476;-840;13584
64275;1140;976;15392
64297;388;1472;15364
64321;684;-2752;14860
64345;2316;-860;15248
64368;-76;-2788;15576
64393;1540;-3112;16524
64417;2880;-3604;14936
64443;-60;3860;11320
64465;884;1904;8340
64487;-168;-4568;18284
64513;712;-1600;14880
64536;2712;-3568;16408
64561;1200;1416;15464
64585;2444;3264;14720
64609;2308;1936;13512
64632;2236;4340;15600
64657;324;-1440;15472
64680;1852;-3064;17152
64705;1696;2904;8352
64729;-880;1784;14852
64752;2932;1832;11944
64777;4380;4476;5412
64799;3164;-5492;-312
64823;-252;-2072;14204
64848;-364;-1732;12696
64873;-1664;-2364;17408
64899;4372;916;21572
64922;-268;-4788;16108
64947;5268;3760;10616
64970;-3104;1372;15156
64996;5580;4808;14412
65019;-364;-2660;17528
65045;-1460;1488;13072
65070;1844;944;19024
65092;8784;16432;-2048
65118;5304;-11420;24452
65143;-780;-12456;25004
65169;-972;1496;11312
65193;3624;-20832;540
65217;-7616;-32768;32767
65245;3544;-10348;10372
65270;2272;-8036;17324
65295;20392;-13680;-11080
65324;1224;13668;32767
65348;3776;2444;-20760
65374;10172;21192;-5144
65399;4404;2392;8972
65422;15464;-8724;30836
65448;-844;-6992;4700
65472;-4688;-3804;29872
65498;3632;952;12360
65521;9744;2620;26120
65545;-3872;176;17776
65568;1860;-4712;20916
65594;1916;2648;6556
65616;116;1220;30612
65639;6304;-928;7364
65662;388;692;25004
65684;72;-1424;14908
65708;3028;-5828;18204
65732;3436;1008;16640
65756;-300;-4304;21432
65781;4;-748;16544
65802;6636;124;16880
65824;2384;-1552;11104
65850;1856;-1408;17228
65874;1916;-696;15880
65898;2028;-188;13184
65923;1796;60;15740
65944;1760;332;12380
65967;1620;-292;15160
65991;1056;-108;14956
66015;788;-148;15132
66037;-1132;-176;14996
66063;-1420;-592;14620
66087;-1032;-216;15056
66113;-664;-208;15240
66137;-1076;-444;14876
66161;-908;-168;14964
66186;-780;-408;15068
66209;-1048;-236;14952
66234;-984;-332;14916
66258;-912;-260;14988
66282;-1048;-320;14968
66308;-820;-280;15088
66331;-956;-232;14960
66355;-972;-324;15056
66379;-972;-244;14888
66403;-1000;-408;14876
66427;-896;-260;15004
66452;-952;-380;14936
66476;-920;-304;14916
66499;-996;-288;14928
66524;-996;-356;14856
66547;-908;-316;14860
66571;-828;-236;14960
66595;-900;-264;14836
66619;-932;-264;14996
66643;-920;-328;14976
66667;-984;-228;14936
66691;-1016;-400;14992
66716;-892;-296;14940
66740;-1056;-304;14964
66764;-1004;-276;14784
66790;-984;-264;14960
66813;-944;-280;14972
66837;-1020;-304;14900
66863;-972;-308;15052
66886;-884;-288;15024
