39375;-28;-1956;14700
39399;-240;-1900;14808
39425;-184;-2012;14928
39449;-40;-1996;15012
39473;0;-2044;15084
39495;48;-1872;15084
39518;108;-1932;14880
39541;-208;-1932;14888
39567;-72;-2016;14780
39590;256;-2048;14624
39615;396;-1892;14764
39639;20;-1988;14836
39661;-188;-2196;14780
39687;108;-2164;14852
39710;276;-1996;14784
39734;172;-2072;15028
39758;-12;-2120;15068
39782;-88;-2188;14980
39805;-48;-2016;15056
39830;32;-2072;15056
39853;-64;-2064;15040
39876;-24;-2100;15064
39901;-76;-2008;15040
39924;-4;-2128;14948
39948;-48;-2096;14960
39971;-156;-2008;14928
39996;-180;-1804;14964
40022;-148;-1992;14912
40046;-84;-2116;15140
40070;-264;-2016;15260
40095;-32;-2144;15372
40119;232;-2060;15276
40142;112;-2012;15236
40167;-148;-2052;14692
40192;0;-1936;14644
40214;-88;-2156;14640
40238;-320;-2212;14552
40262;-276;-2288;14736
40288;-24;-2124;14376
40311;248;-1808;14320
40335;208;-1612;14000
40359;-68;-2012;13756
40383;68;-2484;13332
40406;-252;-3700;12788
40431;-484;-5892;12216
40456;-700;-4664;7652
40479;-564;-1752;-2272
40505;68;-1044;-1616
40527;124;-876;-1892
40551;208;-376;-2236
40573;284;-52;-2412
40595;208;-8;-1936
40616;148;0;-1648
40636;256;60;-1608
40656;232;-196;-1364
40679;328;-320;-1384
40702;520;-500;-1280
40725;608;-412;-1296
40749;540;-484;-1160
40771;648;-360;-1140
40794;612;-140;-1256
40817;456;-60;-1268
40839;384;116;-1272
40860;344;260;-1240
40883;128;388;-1292
40904;-1244;2624;328
40927;24580;32767;32767
40953;32767;-32768;32767
40980;-12792;976;9336
41004;-2512;3444;-1652
41029;240;4360;-2068
41052;1704;1136;-596
41074;1400;3124;-3336
41099;1680;464;-2020
41121;724;-472;-1356
41144;588;-412;-1464
41167;1692;2284;1704
41190;3760;4352;6024
41213;6352;4944;11052
41237;9648;2432;14876
41261;10984;-6240;17368
41287;6176;-12308;23000
